Employee_ID,Age,Gender,Department,Job_Role,Years_at_Company,Monthly_Salary,Working_Hours_Per_Week,Overtime_Hours,Remote_Work,Sleep_Hours,Work_Life_Balance,Stress_Score,Mental_Health_Score,Manager_Support,Job_Satisfaction,Training_Hours,Absent_Days,Performance_Rating,Wellbeing_Program,Productivity_Score,Burnout_Level,Burnout_Risk,Attrition_Risk,Joining_Date
EMP5667,39.0,Female,Marketing,Marketing Manager,1.8,29903.15,51.0,22.0,No,6.0,7.0,1.0,10.0,3,5.0,4.0,4.0,4.0,Yes,7.0,Low,Low,Medium,"May 30, 2017"
EMP4295,37.0,Male,R&D,Data Scientist,2.6,44604.55,32.0,0.0,No,7.8,10.0,1.0,9.0,6,6.0,8.0,1.0,5.0,No,7.0,Low,Low,Low,-
EMP2361,42.0,Male,It,It Support,1.3,32425.18,56.0,19.0,Yes,6.4,7.0,1.0,9.0,7,6.0,0.0,2.0,5.0,Yes,8.0,Low,Low,Low,27/07/2016
EMP1749,25.0,Male,Finance,Accountant,1.4,27717.05,45.0,15.0,Yes,7.0,7.0,3.0,8.0,2,5.0,46.0,3.0,5.0,N,9.0,Low,Low,Medium,-
EMP2786,23.0,Female,Sales,,2.5,28768.23,41.0,0.0,Y,7.4,10.0,1.0,9.0,5,7.0,13.0,2.0,5.0,N,10.0,Low,Low,Low,2017-10-22
EMP4411,22.0,Male,Marketing,Marketing Manager,1.4,30774.5,54.0,12.0,Yes,6.9,9.0,1.0,10.0,5,4.0,10.0,4.0,3.0,No,7.0,Low,Low,Low,2025-08-24
EMP6402,33.0,Female,Operations,Support Team Lead,1.5,41934.18,34.0,0.0,N,6.6,10.0,1.0,9.0,6,8.0,0.0,3.0,5.0,N,5.0,Low,Low,Low,05/11/2024
EMP6125,27.0,Male,It,It Support,2.8,31914.37,46.0,2.0,No,7.1,10.0,1.0,10.0,4,8.0,0.0,7.0,5.0,No,6.0,Low,Low,Low,2021-06-02
EMP1929,27.0,Male,Hr,It Support,2.5,27388.69,59.0,16.0,Yes,6.7,6.0,2.0,8.0,7,6.0,9.0,2.0,5.0,N,8.0,Low,Low,Low,24/07/2016
EMP2970,33.0,Male,R&D,Data Scientist,5.0,49365.37,45.0,15.0,Yes,6.4,8.0,3.0,9.0,2,4.0,25.0,6.0,5.0,No,5.0,Low,Low,Medium,03-08-2023
EMP6229,30.0,Female,Customer Support,Suppotr Team Lead,4.4,44840.2,33.0,0.0,N,7.2,9.0,1.0,9.0,7,6.0,13.0,3.0,5.0,N,8.0,Low,Low,Low,"August 26, 2024"
EMP6706,33.0,Female,Sales,Sales Executive,2.5,37484.02,48.0,12.0,Y,8.9,9.0,1.0,10.0,4,6.0,10.0,2.0,5.0,Y,6.0,Low,Low,Low,21-Oct-2015
EMP5729,36.0,Male,Legal,Legal Counsel,6.7,32425.18,47.0,13.0,N,7.3,9.0,2.0,9.0,3,7.0,6.0,3.0,5.0,No,7.0,Low,Low,Low,01-20-2016
EMP5183,44.0,Female,Finance,Finance Managre,13.3,32425.18,54.0,1.0,No,7.3,8.0,2.0,9.0,7,8.0,-33.0,3.0,5.0,No,7.0,Low,Low,Low,03/06/2026
EMP2155,26.0,Male,Admin,Fofice Manager,7.5,48965.26,51.0,2.0,No,7.4,10.0,1.0,10.0,,4.0,23.0,4.0,4.0,Yes,7.0,Low,Low,Low,18/04/2024
EMP6261,40.0,Female,It,-,0.5,32425.18,30.0,0.0,N,8.4,10.0,2.0,9.0,6,7.0,4.0,1.0,3.0,N,6.0,Low,Low,Low,26-Aug-2023
EMP5655,33.0,Male,Customer Support,Customer Success Manager,0.4,35994.29,41.0,0.0,No,8.8,10.0,2.0,9.0,4,7.0,1.0,2.0,5.0,Y,8.0,Low,Low,Low,10-21-2021
EMP5382,31.0,-,Finance,Finanec Manager,3.7,38365.97,46.0,9.0,Y,7.2,8.0,1.0,10.0,7,6.0,3.0,1.0,5.0,Y,8.0,Low,Low,Low,-
EMP1779,27.0,Female,R&D,R&D Engineer,2.9,32425.18,42.0,12.0,Yes,7.0,8.0,2.0,7.0,6,7.0,4.0,2.0,4.0,No,7.0,Low,Low,Low,"July 27, 2021"
EMP6569,33.0,Male,Marketting,Marketing Manager,1.7,37659.79,40.0,2.0,No,6.3,10.0,1.0,9.0,6,4.0,12.0,2.0,5.0,N,6.0,Low,Low,Low,29/01/2018
EMP2041,42.0,Female,Marketing,Content Strategist,1.0,22042.35,43.0,3.0,No,6.8,10.0,1.0,9.0,5,5.0,1.0,8.0,5.0,Yes,8.0,Low,Low,Low,05-05-2023
EMP1125,39.0,Male,Finance,Finance Manager,3.0,46737.64,32.0,2.0,No,8.4,10.0,2.0,10.0,5,8.0,8.0,1.0,5.0,No,6.0,Low,Low,Low,09/06/2019
EMP5613,38.0,Female,R&D,Data Scientist,5.2,44823.34,46.0,12.0,No,6.9,8.0,1.0,8.0,8,7.0,10.0,2.0,5.0,No,8.0,Extreme,Low,Low,07-13-2016
EMP2274,20.0,Male,It,Qa Engineer,0.4,29973.64,44.0,5.0,Yes,7.3,9.0,1.0,8.0,4,4.0,13.0,5.0,5.0,No,8.0,Low,Low,-,2024/02/17
EMP2865,25.0,Male,Marketing,Marketing Manager,3.3,35386.16,51.0,8.0,N,7.0,8.0,2.0,10.0,4,7.0,84.0,5.0,5.0,Y,7.0,Low,Low,,2024-07-12
EMP5765,33.0,Female,Legal,Legal Advisor,3.8,29495.04,43.0,6.0,No,7.7,9.0,2.0,10.0,5,8.0,36.0,0.0,5.0,N,7.0,Low,Low,Low,09-29-2022
EMP2028,33.0,Female,Sales,Account Manager,5.0,45277.78,49.0,14.0,No,6.9,8.0,1.0,8.0,9,6.0,37.0,2.0,5.0,Yes,7.0,Low,Low,Low,14/03/2023
EMP2717,35.0,Female,It,Software Engineer,6.1,39866.93,37.0,0.0,Yes,7.4,9.0,1.0,9.0,4,7.0,7.0,2.0,5.0,No,8.0,Low,Low,Low,"February 24, 2025"
EMP3452,33.0,Male,Hr,R&D Engineer,0.9,28634.38,30.0,0.0,N,7.6,10.0,2.0,9.0,6,4.0,10.0,3.0,5.0,No,8.0,Low,Low,Low,"April 29, 2024"
EMP2218,22.0,Male,Finance,Accountant,1.6,26993.12,41.0,5.0,No,7.4,9.0,1.0,8.0,8,7.0,10.0,8.0,4.0,Yes,5.0,Low,Low,Low,04-30-2024
EMP4524,30.0,Male,Customer Support,Support Executive,2.4,27152.89,45.0,9.0,Yes,7.1,9.0,2.0,9.0,6,4.0,27.0,2.0,5.0,N,8.0,Low,Low,Low,2023-10-06
 emp6251 ,38.0,Female,Finance,Support Team Lead,0.9,29676.36,41.0,0.0,Yes,-9.524546293245828,10.0,2.0,9.0,1,6.0,10.0,1.0,4.0,No,7.0,Low,Low,Low,-
EMP1575,26.0,,Finance,Accountant,0.4,23987.86,39.0,1.0,Y,6.4,10.0,1.0,8.0,7,8.0,1.0,3.0,5.0,No,8.0,Low,Low,Low,2015-06-14
EMP5706,33.0,Female,Sales,Sales Executive,5.2,35054.57,45.0,16.0,No,7.0,7.0,2.0,8.0,9,9.0,10.0,3.0,5.0,No,5.0,Low,Low,Low,01-12-2025
EMP6044,30.0,Male,Finance,Accountant,0.1,26805.88,55.0,20.0,No,7.1,9.0,1.0,8.0,7,9.0,1.0,6.0,5.0,No,7.0,Low,Low,Low,2020/02/26
EMP3019,39.0,Male,Hr,Recruiter,0.8,32425.18,48.0,8.0,Y,6.3,7.0,1.0,10.0,7,6.0,11.0,1.0,5.0,No,7.0,Low,Low,Low,"February 19, 2023"
EMP3284,33.0,Male,,Hr Manager,1.4,32425.18,31.0,0.0,Y,6.9,9.0,1.0,10.0,6,4.0,0.0,4.0,5.0,Yes,7.0,Low,Low,Low,"May 12, 2018"
EMP1036,43.0,Male,Legal,Legal Advisor,1.1,19882.15,44.0,0.0,No,7.2,10.0,1.0,10.0,3,5.0,18.0,3.0,5.0,N,7.0,Low,Low,Low,2020-04-20
EMP5204,37.0,Female,Marketing,Content Strategist,0.0,25213.38,45.0,11.0,No,6.3,8.0,1.0,10.0,8,7.0,24.0,1.0,5.0,Yes,8.0,Low,Low,Low,06-Mar-2023
EMP1626,38.0,Male,R&D,Support Team Lead,12.3,38555.66,54.0,16.0,No,5.6,6.0,1.0,7.0,4,5.0,20.0,4.0,5.0,Yes,8.0,Low,Low,Low,01-10-2026
EMP6939,27.0,Other,Operations,Operations Executive,4.9,35292.95,33.0,2.0,N,8.3,10.0,1.0,10.0,6,6.0,2.0,2.0,5.0,Y,8.0,Low,Low,Low,12-13-2017
EMP6968,33.0,Male,Admin,Adimn Executive,5.2,34784.18,39.0,7.0,Yes,6.1,8.0,3.0,10.0,8,6.0,3.0,3.0,5.0,No,9.0,Low,Low,Low,"November 22, 2019"
EMP3275,48.0,Male,Customer Support,Support Executive,4.5,30304.54,39.0,4.0,N,7.2,9.0,2.0,7.0,8,5.0,0.0,6.0,5.0,-,7.0,Low,Low,Low,"January 01, 2025"
EMP4236,29.0,Female,Sales,Sales Manager,2.5,42057.18,54.0,20.0,No,6.8,9.0,1.0,8.0,,5.0,9.0,1.0,5.0,N,7.0,Low,-,Medium,2021-10-10
EMP5026,33.0,Male,Customersupport,Support Executive,4.1,22401.23,41.0,5.0,Yes,8.9,8.0,1.0,9.0,6,6.0,2.0,2.0,5.0,N,7.0,Low,Low,Low,-
EMP5320,37.0,Female,Human Resources,Hr Executive,1.6,27283.19,45.0,26.0,No,-10.52308373664556,7.0,2.0,7.0,7,6.0,3.0,5.0,5.0,N,8.0,Low,Low,Low,"June 22, 2020"
EMP2795,21.0,Female,Finance,Finance Manager,3.0,39362.42,56.0,16.0,Y,7.7,7.0,1.0,9.0,6,6.0,37.0,6.0,5.0,No,7.0,Low,Low,Low,05/05/2017
EMP3600,38.0,Female,Finance,Financial Analyst,20.0,54746.34,47.0,9.0,No,7.0,10.0,1.0,9.0,7,7.0,2.0,4.0,5.0,N,7.0,Low,Low,Low,08-Aug-2016
EMP2935,51.0,Male,Finance,Accountant,2.5,43404.55,46.0,8.0,Y,8.1,9.0,2.0,10.0,7,7.0,4.0,5.0,5.0,Yes,7.0,Low,Low,Low,-
EMP1257,33.0,Male,Rnd,Research Analyst,0.2,29616.5,45.0,5.0,No,6.8,7.0,2.0,9.0,6,7.0,8.0,4.0,5.0,No,6.0,Low,Low,Low,08/09/2020
EMP4202,32.0,Female,Hr,Recruiter,4.6,28476.91,55.0,12.0,No,6.9,10.0,1.0,7.0,6,7.0,11.0,2.0,5.0,No,7.0,Low,Low,Low,15-Feb-2016
EMP4623,43.0,Female,Operations,Logistics Coordinator,2.8,38035.86,33.0,3.0,No,7.4,10.0,1.0,10.0,8,9.0,0.0,4.0,5.0,Y,7.0,Low,Low,Low,2018/11/08
EMP3258,28.0,Male,Operations,-,3.2,30926.28,49.0,10.0,No,7.7,9.0,2.0,8.0,5,6.0,21.0,2.0,5.0,No,6.0,Low,Low,Low,2019/04/30
EMP2192,33.0,Female,Legal,Legal Counsel,2.3,25107.97,45.0,2.0,No,8.2,10.0,1.0,8.0,8,7.0,15.0,2.0,5.0,Yes,8.0,Low,Low,Low,"July 02, 2025"
EMP3193,34.0,Female,Admin,Office Manager,7.3,51874.93,34.0,4.0,Yes,6.9,10.0,2.0,8.0,4,7.0,17.0,4.0,5.0,No,7.0,Low,Low,Low,10-Jun-2021
EMP3719,42.0,Female,Marketing,Marketing Manager,1.7,37534.16,46.0,6.0,No,8.3,9.0,1.0,10.0,3,7.0,0.0,2.0,5.0,No,8.0,Low,Low,Low,28/11/2018
EMP2513,38.0,Male,R&D,Research Analyst,0.4,32425.18,42.0,1.0,Yes,7.2,9.0,1.0,10.0,7,6.0,6.0,2.0,5.0,No,6.0,Low,Low,Low,"January 27, 2020"
EMP6153,22.0,Male,Marketting,Marketing Executive,4.0,26579.18,41.0,0.0,N,8.3,9.0,1.0,9.0,5,8.0,13.0,3.0,5.0,Yes,5.0,Low,Low,Low,2019/11/19
EMP4791,22.0,Female,Admin,Admin Executive,1.9,29339.67,41.0,5.0,Yes,7.9,9.0,1.0,10.0,5,8.0,25.0,2.0,5.0,Yes,8.0,Low,Low,Low,25/12/2015
EMP4963,33.0,M,Admin,Support Team Lead,0.2,37656.56,39.0,0.0,No,7.1,10.0,2.0,9.0,4,5.0,5.0,5.0,5.0,No,4.0,Low,Low,Low,07-06-2022
EMP2286,31.0,Male,Admin,Office Manager,1.1,41129.68,43.0,12.0,Y,7.0,10.0,3.0,9.0,6,6.0,10.0,1.0,4.0,N,7.0,Low,-,Low,2015-01-17
EMP2373,29.0,Other,It,Software Engineer,-4.516901069025824,32425.18,52.0,14.0,No,5.5,9.0,1.0,7.0,5,7.0,5.0,3.0,5.0,No,6.0,Low,Low,Low,2024/03/13
EMP2169,29.0,Male,Legal,Legal Advisor,3.5,29730.06,52.0,15.0,N,6.7,9.0,1.0,10.0,9,8.0,1.0,0.0,5.0,Y,8.0,Low,Low,,2026/04/19
EMP2100,32.0,Female,Customer Support,Support Team Lead,2.5,54480.77,34.0,9.0,N,6.8,9.0,3.0,8.0,2,4.0,0.0,3.0,5.0,N,9.0,Low,Low,Medium,"January 27, 2024"
 emp1062 ,34.0,Male,Hr,Compliance Officer,1.5,26894.81,45.0,14.0,N,5.2,7.0,1.0,9.0,5,6.0,10.0,4.0,5.0,No,8.0,Low,Low,Low,06-05-2022
EMP2822,43.0,Female,Hr,Recruiter,11.1,45662.8,36.0,5.0,No,7.6,9.0,1.0,9.0,10,8.0,10.0,4.0,5.0,N,6.0,Low,Low,Low,29/07/2015
EMP4068,33.0,Male,Operations,Lgoistics Coordinator,8.3,36572.78,43.0,8.0,No,8.0,8.0,1.0,10.0,7,7.0,4.0,4.0,5.0,Yes,6.0,-,Low,Low,03-25-2015
EMP2166,28.0,Female,Hr,Customer Success Manager,6.3,50331.63,38.0,0.0,N,8.0,10.0,1.0,9.0,6,8.0,11.0,5.0,5.0,-,7.0,Low,Low,Low,2016/04/26
EMP6034,26.0,Male,Sales,Account Manager,1.2,45274.35,34.0,0.0,No,8.9,10.0,1.0,9.0,2,7.0,6.0,2.0,5.0,Yes,7.0,Low,Low,Low,2015/01/05
EMP5606,24.0,Male,Sales,Business Development Executive,3.7,29230.74,52.0,13.0,No,8.2,6.0,1.0,8.0,7,6.0,10.0,3.0,5.0,Yes,6.0,Low,Low,Low,2026-01-17
EMP1567,33.0,Male,Finance,Auditor,1.8,21138.55,45.0,6.0,No,7.9,10.0,1.0,8.0,6,7.0,16.0,6.0,4.0,N,7.0,Low,Low,Low,05-22-2023
EMP3428,33.0,Male,Operations,Operations Manager,0.8,46101.0,41.0,6.0,N,7.0,9.0,1.0,10.0,7,7.0,9.0,2.0,5.0,N,8.0,Low,Low,Low,12-27-2024
EMP4497,35.0,Male,Admin,Admin Executive,3.6,26067.49,47.0,9.0,Yes,7.5,9.0,1.0,10.0,9,8.0,31.0,4.0,4.0,Yes,7.0,Low,Low,Low,14/03/2021
EMP4533,20.0,Male,Hr,Marketing Executive,2.0,25009.16,41.0,0.0,Yes,7.9,9.0,1.0,10.0,6,6.0,47.0,2.0,5.0,Y,7.0,Low,Low,Low,"May 27, 2017"
 emp4685 ,33.0,Male,Legal,Legal Counsel,0.8,31439.08,40.0,5.0,Yes,6.6,10.0,1.0,8.0,6,5.0,37.0,4.0,5.0,No,8.0,Low,Low,Low,"August 01, 2018"
EMP1873,36.0,Male,Operations,Operations Manager,3.7,45050.83,41.0,2.0,Yes,7.0,8.0,2.0,9.0,5,6.0,1.0,4.0,5.0,No,6.0,Low,Low,Low,"July 13, 2019"
EMP4251,28.0,Female,Legal,Compliance Officer,6.6,40245.38,45.0,15.0,Yes,5.1,9.0,1.0,9.0,4,7.0,70.0,3.0,5.0,Yes,9.0,Low, ,Low,-
EMP1349,31.0,Male,Sales,Sales Manager,3.4,39208.7,42.0,10.0,No,6.4,8.0,2.0,10.0,9,7.0,9.0,5.0,5.0,Yes,7.0,Low,Low,Low,2022/09/23
EMP4358,27.0,Male,Admin,Office Manager,0.2,30805.45,40.0,2.0,No,7.9,10.0,1.0,9.0,7,8.0,44.0,2.0,5.0,No,8.0,Low,Low,Low,"August 29, 2016"
EMP1350,24.0,F,Legal,Legal Advisor,0.6,34197.81,56.0,11.0,No,6.6,9.0,1.0,10.0,6,6.0,7.0,2.0,5.0,Yes,8.0,Low,Low,Low,2025-08-03
EMP3894,40.0,Male,Administration,Front Desk Executive,4.8,28419.38,49.0,9.0,No,5.5,9.0,1.0,8.0,10,8.0,1.0,5.0,5.0,No,9.0,Low,Low,Low,01-24-2015
EMP3520,27.0,Male,R&D,Data Scientist,7.5,45349.23,47.0,5.0,No,6.9,10.0,1.0,8.0,8,8.0,35.0,1.0,5.0,No,7.0,Low,Low,Low,28/12/2022
EMP1024,22.0,Male,Hr,Research Analyst,1.2,25474.05,53.0,17.0,No,6.8,8.0,3.0,8.0,10,7.0,5.0,3.0,4.0,N,4.0,Low,Low,Low,2017-10-27
EMP4061,49.0,Female,Ops,Operations Executive,5.3,38412.65,56.0,20.0,No,7.1,9.0,1.0,9.0,5,6.0,10.0,7.0,5.0,No,8.0,Low,Low,Low,2019-11-05
EMP5515,28.0,Male,Fiannce,Auditor,1.1,27783.94,41.0,5.0,N,5.6,10.0,1.0,8.0,4,7.0,3.0,7.0,5.0,Yes,6.0,Low,Low,Low,11-04-2022
EMP1115,33.0,Female,Human Resources,Recruiter,0.4,27557.54,42.0,2.0,Y,7.5,10.0,1.0,10.0,8,6.0,3.0,2.0,5.0,Yes,8.0,Low,Low,Low,2021/07/21
EMP5311,28.0,M,Customer Support,Support Executive,0.9,28482.23,34.0,0.0,N,7.3,10.0,1.0,10.0,2,5.0,16.0,1.0,5.0,Yes,6.0,Low,Low,Low,28-Jun-2025
EMP6941,38.0,Male,Sales,Business Development Executive,10.5,43464.56,60.0,28.0,Y,6.2,9.0,4.0,8.0,6,4.0,4.0,4.0,5.0,N,4.0,Medium,Moderate,Medium,14/05/2021
EMP1966,37.0,Male,Admin,Admin Executive,13.8,41633.7,61.0,5.0,No,5.7,8.0,2.0,10.0,7,6.0,10.0,7.0,5.0,No,9.0,Low,Low,Low,"January 13, 2019"
EMP4362,50.0,M,Hr,Hr Generalist,2.3,36695.75,39.0,1.0,No,6.5,10.0,1.0,9.0,9,7.0,22.0,3.0,5.0,Y,7.0,Low,Low,Low,01/01/2028
EMP2763,32.0,Female,Customer Support,Support Executive,3.8,21827.43,34.0,0.0,Yes,6.1,10.0,2.0,8.0,5,6.0,3.0,3.0,5.0,N,6.0,Low,Low,Low,"July 27, 2018"
EMP5403,33.0,Male,Finance,Finance Manager,6.8,51362.71,47.0,13.0,No,8.5,10.0,1.0,9.0,8,8.0,1.0,4.0,5.0,No,9.0,Low,Low,Low,24-Jan-2019
EMP1317,47.0,Female,Legal,Legal Advisor,3.0,30097.94,54.0,5.0,No,6.7,9.0,2.0,9.0,10,8.0,3.0,5.0,5.0,N,8.0,Low,Low,Low,2025/09/23
EMP1433,40.0,Female,Admin,Admin Executvie,0.4,23514.66,39.0,3.0,No,7.9,9.0,1.0,10.0,4,6.0,6.0,4.0,5.0,Y,7.0,Low,Low,Low,2020/05/08
EMP1738,20.0,Female,Customer Support,Customer Success Manager,0.5,44777.76,43.0,10.0,No,7.2,10.0,1.0,9.0,6,8.0,2.0,5.0,5.0,Yes,7.0,Low,Low,Low,"August 14, 2022"
EMP6754,25.0,Male,R&D,Data Scientist,7.0,54010.03,58.0,14.0,N,6.9,9.0,1.0,10.0,7,8.0,6.0,3.0,5.0,Y,7.0,Low,Low,Low,2016/06/04
EMP4561,24.0,M,Admin,Office Manager,0.7,45842.02,58.0,17.0,No,5.7,9.0,3.0,9.0,2,4.0,17.0,6.0,5.0,No,8.0,Low,Low,Medium,2022/05/05
EMP4476,33.0,Female,Fiannce,Financial Analyst,4.2,33234.6,48.0,11.0,Yes,7.6,9.0,1.0,8.0,9,9.0,9.0,3.0,5.0,No,8.0,Low,Low,Low,"March 16, 2016"
EMP5212,23.0,Female,Admin,Offiec Manager,1.6,41650.9,38.0,0.0,No,6.2,10.0,1.0,8.0,6,7.0,10.0,3.0,5.0,No,8.0,Low,Low,Low,07-24-2019
EMP4436,47.0,Female,Operations,Operations Executive,3.0,22827.56,43.0,0.0,No,9.0,9.0,1.0,10.0,3,4.0,16.0,5.0,5.0,Yes,6.0,Low,Low,Low,20-May-2017
EMP2370,30.0,Male,Hr,Hr Executive,2.7,25566.18,49.0,10.0,No,6.0,8.0,1.0,10.0,9,8.0,8.0,5.0,5.0,N,5.0,Low,Low,Low,05-17-2020
EMP1590,30.0,Male,Finance,Financial Analyst,6.3,42437.87,44.0,8.0,N,7.2,9.0,1.0,10.0,-,7.0,18.0,4.0,5.0,Y,8.0,Low,Low,Low,"September 10, 2021"
EMP4366,32.0,Female,Sales,Sales Manager,0.8,40652.56,34.0,3.0,No,6.3,10.0,1.0,9.0,8,6.0,6.0,4.0,5.0,No,7.0,Low,Low,Low, 
EMP4673,40.0,Female,Finance,Accountant,0.8,32425.18,45.0,0.0,Yes,7.5,10.0,1.0,9.0,9,6.0,1.0,2.0,4.0,N,7.0,Low,Low,Low,2024-11-13
EMP3433,29.0,Male,Marketing,Content Strategist,1.0,23563.3,47.0,11.0,No,6.1,8.0,1.0,10.0,2,6.0,10.0,1.0,4.0,Yes,5.0,Low,Low,Low,"March 04, 2019"
EMP1375,20.0,Female,Sales,Account Manager,2.0,32425.18,54.0,26.0,No,6.6,6.0,2.0,7.0,-,8.0,6.0,3.0,5.0,No,7.0,Low,Low,Low,13-May-2024
 emp1456 ,33.0,M,Marketing,Seo Specialist,5.0,31554.82,43.0,4.0,No,6.7,10.0,3.0,10.0,4,7.0,3.0,1.0,5.0,Yes,8.0,Low,Low,Low,11-19-2025
EMP4239,29.0,Male,Operations,Logistics Coordinator,2.1,33139.73,49.0,5.0,No,7.9,10.0,3.0,8.0,6,5.0,5.0,1.0,5.0,No,5.0,Low,Low,,01-Nov-2022
EMP4219,29.0,Female,Legal,Compliance Officer,4.1,24322.93,46.0,0.0,No,8.0,10.0,1.0,9.0,6,7.0,11.0,3.0,5.0,N,8.0,Low,Low,Low,2025-09-06
EMP1610,27.0,Male,R&D,R&D Engineer,3.3,28761.53,42.0,1.0,Yes,7.9,9.0,1.0,7.0,6,5.0,7.0,0.0,5.0,Yes,7.0,Low,Low,Low,12-30-2016
EMP5442,32.0,Male,Marketing,Seo Specialist,2.9,25312.37,50.0,8.0,Yes,7.8,9.0,1.0,10.0,6,6.0,19.0,0.0,5.0,No,6.0,Low,Low,Low,2025-12-25
EMP6150,29.0,Female,Admin,Support Team Lead,11.0,44388.24,45.0,11.0,No,6.8,9.0,1.0,9.0,5,6.0,9.0,4.0,5.0,Yes,8.0,Low,Low,-,-
EMP2134,26.0,Female,Sales,Support Team Lead,1.1,23985.49,54.0,5.0,No,6.3,8.0,2.0,8.0,5,5.0,23.0,1.0,5.0,N,8.0,Low,Low,Low,11-18-2016
EMP4160,30.0,Male,Research And Development,Research Analyst,2.5,27822.93,49.0,14.0,Yes,6.7,9.0,1.0,10.0,9,6.0,10.0,5.0,4.0,N,7.0,Low,Low,Low,02-27-2019
EMP2044,38.0,Male,It,Software Engineer,0.7,26760.16,44.0,7.0,No,8.4,10.0,1.0,10.0,-,5.0,0.0,1.0,5.0,No,9.0,Low,Low,Low,2024/11/20
EMP3773,38.0,Female,Hr,Hr Executive,11.3,37990.58,45.0,10.0,N,7.2,10.0,1.0,10.0,7,6.0,11.0,4.0,5.0,N,7.0,Low,Low,Low,05-30-2016
EMP4996,29.0,,Hr,Hr Executive,7.5,29938.86,44.0,10.0,No,5.5,8.0,1.0,10.0,3,6.0,11.0,3.0,5.0,No,7.0,Low,Low,Low,2022-12-31
EMP5336,27.0,Female,Sale,Account Manager,1.1,45311.68,45.0,13.0,No,6.1,7.0,1.0,9.0,4,4.0,10.0,3.0,5.0,Yes,7.0,Low,Low,Low,22-Feb-2015
EMP4857,29.0,Female,Hr,Hr Mnaager,1.7,31956.37,38.0,0.0,No,5.9,8.0,1.0,10.0,5,7.0,8.0,3.0,5.0,No,8.0,Low,Low,Low,2025-11-01
EMP6059,35.0,Male,Cust. Support,Support Team Lead,5.0,46554.72,30.0,0.0,Yes,8.4,10.0,1.0,8.0,7,8.0,1.0,3.0,5.0,No,8.0,Low,Low,Low,2026-02-09
EMP3782,25.0,Female,It,It Support,2.1,26902.99,54.0,21.0,Yes,5.7,8.0,2.0,10.0,7,6.0,20.0,3.0,4.0,No,7.0,Low,Low,Low,10-28-2019
EMP1269,36.0,Female,Hr,Logistics Coordinator,1.7,32337.27,45.0,0.0,No,7.4,10.0,1.0,10.0,8,7.0,2.0,3.0,5.0,Y,8.0,Low,Low,Low,14/04/2016
EMP4793,33.0,Male,Human Resources,Hr Executive,9.3,38936.69,65.0,30.0,N,7.5,7.0,2.0,9.0,7,8.0,2.0,5.0,4.0,Yes,7.0,Low,Low,Low,-
